year,make,model,condition,odometer,sellingprice
2014,BMW,6 Series Gran Coupe,43.0,2641.0,67000.0
2014,BMW,M5,34.0,14943.0,65000.0
2014,Audi,A4,42.0,9557.0,32250.0
2014,Audi,A6,48.0,14414.0,49750.0
2014,Audi,Q5,49.0,7983.0,40000.0
2014,BMW,6 Series,34.0,8819.0,67200.0
2014,BMW,6 Series,38.0,10736.0,65000.0
2015,Volvo,XC70,42.0,16506.0,32500.0
2015,Volvo,XC70,48.0,12725.0,32500.0
2014,Audi,SQ5,42.0,9606.0,47500.0
2014,Audi,S5,38.0,5875.0,44500.0
2015,Chevrolet,Suburban,45.0,11426.0,59900.0
2014,BMW,M5,38.0,16360.0,64250.0
2014,Cadillac,ELR,47.0,4436.0,44000.0
2014,BMW,6 Series,32.0,13205.0,65000.0
2014,BMW,X6,4.0,379.0,51700.0
2014,BMW,6 Series Gran Coupe,42.0,7305.0,66100.0
2015,Kia,K900,42.0,5304.0,40000.0
2015,Lexus,RX 350,43.0,7770.0,38400.0
2014,BMW,M5,47.0,7766.0,77250.0
2015,Kia,K900,44.0,9684.0,41000.0
2014,BMW,6 Series,4.0,8037.0,65000.0
2014,Audi,A8,43.0,32918.0,50000.0
2014,BMW,6 Series,4.0,9837.0,61500.0
2014,BMW,6 Series Gran Coupe,29.0,37752.0,58000.0
2014,BMW,M5,38.0,13386.0,65000.0
2014,BMW,M5,41.0,15161.0,65801.0
2014,Audi,TTS,28.0,3996.0,34250.0
2014,BMW,4 Series,37.0,18152.0,39750.0
2014,Acura,MDX,49.0,21523.0,41500.0
2014,BMW,6 Series,37.0,8891.0,67200.0
2014,BMW,6 Series,38.0,19499.0,62000.0
2014,BMW,5 Series,48.0,12292.0,46500.0
2014,BMW,6 Series,37.0,15727.0,65000.0
2014,BMW,X5,5.0,4503.0,57250.0
2013,Infiniti,FX,43.0,10532.0,32000.0
2013,Hyundai,Santa Fe,5.0,11439.0,30800.0
2013,Hyundai,Equus,41.0,7755.0,36000.0
2013,Jeep,Wrangler,47.0,9153.0,35250.0
2013,Mercedes-Benz,S-Class,36.0,4811.0,45500.0
2013,Lexus,GS 350,36.0,39590.0,32100.0
2013,Infiniti,M,46.0,10808.0,33500.0
2013,Mercedes-Benz,SLK-Class,44.0,8470.0,37000.0
2013,Mercedes-Benz,E-Class,25.0,4995.0,31750.0
2013,Infiniti,JX,37.0,37738.0,32250.0
2013,Land Rover,LR4,44.0,2059.0,42000.0
2013,Infiniti,M,41.0,9338.0,34500.0
2013,Lexus,GS 350,34.0,17786.0,33000.0
2013,Land Rover,Range Rover Evoque,48.0,25524.0,35500.0
2013,Lexus,LS 460,49.0,71.0,64000.0
2013,Mercedes-Benz,S-Class,44.0,14557.0,51500.0
2013,Mercedes-Benz,E-Class,47.0,28463.0,36250.0
2013,Mercedes-Benz,S-Class,36.0,24168.0,56250.0
2013,Lexus,GS 350,35.0,21189.0,31900.0
2013,Mercedes-Benz,GL-Class,42.0,26853.0,48000.0
2013,Mercedes-Benz,GL-Class,43.0,16584.0,46750.0
2013,Mercedes-Benz,M-Class,5.0,6536.0,42750.0
2013,Mercedes-Benz,S-Class,35.0,38407.0,54000.0
2013,Land Rover,Range Rover Evoque,46.0,9214.0,39000.0
2013,Mercedes-Benz,S-Class,42.0,38691.0,48000.0
2013,Mercedes-Benz,S-Class,41.0,33776.0,46500.0
2013,Infiniti,M,42.0,6787.0,33500.0
2013,Lexus,RX 350,46.0,21932.0,37750.0
2013,Mercedes-Benz,S-Class,44.0,10862.0,57250.0
2013,Mercedes-Benz,C-Class,25.0,10972.0,36500.0
2013,Land Rover,Range Rover Sport,37.0,26757.0,60000.0
2013,Mercedes-Benz,E-Class,47.0,31064.0,30750.0
2013,Mercedes-Benz,E-Class,45.0,19538.0,32250.0
2013,Lexus,GS 350,38.0,42813.0,31000.0
2013,Infiniti,M,45.0,8691.0,33500.0
2013,Mercedes-Benz,E-Class,47.0,10616.0,34750.0
2013,Lexus,GS 350,46.0,22672.0,34500.0
2013,Mercedes-Benz,C-Class,39.0,22514.0,42750.0
2013,Porsche,Cayenne,37.0,15746.0,46500.0
2013,Porsche,911,46.0,16868.0,88500.0
2013,Porsche,Boxster,42.0,25019.0,49500.0
2013,Toyota,Sequoia,41.0,24592.0,34000.0
2013,Porsche,Cayenne,38.0,26999.0,55000.0
2013,Porsche,Panamera,39.0,12379.0,59750.0
2013,Porsche,Panamera,41.0,33876.0,58000.0
2013,Porsche,Boxster,37.0,21938.0,39500.0
2012,BMW,6 Series,38.0,28925.0,50500.0
2012,BMW,6 Series,47.0,34941.0,42500.0
2012,BMW,6 Series,48.0,20904.0,49000.0
2012,BMW,6 Series,36.0,24452.0,44000.0
2012,BMW,7 Series,43.0,35818.0,35250.0
2012,BMW,3 Series,38.0,14149.0,40500.0
2012,BMW,6 Series,36.0,24132.0,49500.0
2012,BMW,6 Series,44.0,39628.0,42000.0
2012,BMW,5 Series,22.0,28170.0,47000.0
2012,BMW,7 Series,33.0,14769.0,34750.0
2012,BMW,6 Series,42.0,34780.0,47000.0
2012,BMW,5 Series,48.0,19782.0,31000.0
2012,BMW,7 Series,36.0,32509.0,40000.0
2012,Audi,S4,28.0,13044.0,35250.0
2012,Audi,A7,33.0,36671.0,40500.0
2012,BMW,3 Series,45.0,37632.0,32000.0
2012,BMW,5 Series,48.0,27979.0,34750.0
2012,BMW,5 Series,43.0,22371.0,34750.0
2012,BMW,6 Series,41.0,46534.0,41500.0
2012,BMW,5 Series,44.0,24506.0,33000.0
2012,BMW,5 Series,43.0,27181.0,34750.0
2012,BMW,3 Series,45.0,23777.0,33250.0
2012,BMW,5 Series,27.0,33760.0,32750.0
2012,BMW,3 Series,48.0,14910.0,31500.0
2012,BMW,3 Series,43.0,37509.0,31500.0
2012,BMW,6 Series,38.0,22845.0,52500.0
2012,BMW,7 Series,39.0,24576.0,40500.0
2012,BMW,6 Series,41.0,51983.0,40000.0
2012,BMW,7 Series,36.0,18602.0,42000.0
2012,BMW,M3,35.0,25240.0,42500.0
2012,BMW,5 Series,47.0,38066.0,42500.0
2012,BMW,6 Series,4.0,28606.0,49500.0
2012,BMW,6 Series,48.0,43505.0,44500.0
2012,BMW,6 Series,33.0,32289.0,48000.0
2012,BMW,6 Series,44.0,53404.0,43500.0
2012,BMW,6 Series,45.0,21262.0,52250.0
2012,BMW,1 Series,35.0,24380.0,35500.0
2012,BMW,M3,47.0,20850.0,43500.0
2012,BMW,7 Series,46.0,46943.0,33000.0
2012,BMW,3 Series,42.0,27312.0,33000.0
2012,BMW,5 Series,43.0,34966.0,32500.0
2012,BMW,6 Series,44.0,25060.0,51500.0
2012,BMW,3 Series,47.0,16827.0,34750.0
2012,BMW,6 Series,49.0,11868.0,47000.0
2012,BMW,6 Series,36.0,35458.0,44250.0
2012,BMW,M3,42.0,35920.0,41000.0
2012,BMW,7 Series,44.0,30313.0,40000.0
2012,BMW,5 Series,39.0,38866.0,34000.0
2012,BMW,5 Series,38.0,52387.0,32500.0
2012,BMW,3 Series,49.0,27272.0,31750.0
2012,BMW,6 Series,49.0,26704.0,49250.0
2012,BMW,5 Series,46.0,41539.0,36750.0
2012,BMW,5 Series,44.0,54898.0,31000.0
2012,BMW,3 Series,36.0,48143.0,33000.0
2012,BMW,6 Series,34.0,44520.0,40500.0
2012,BMW,6 Series,34.0,26807.0,47000.0
2012,Audi,A6,36.0,13936.0,33100.0
2012,BMW,6 Series,37.0,45540.0,40750.0
2012,BMW,6 Series,42.0,32341.0,43500.0
2012,BMW,7 Series,41.0,17676.0,36500.0
2012,Audi,R8,39.0,11740.0,91000.0
2012,BMW,7 Series,46.0,46766.0,33750.0
2012,BMW,6 Series,34.0,44067.0,42250.0
2012,Acura,MDX,47.0,36533.0,30750.0
2012,BMW,6 Series,37.0,23496.0,51250.0
2012,BMW,7 Series,38.0,38006.0,37500.0
2012,BMW,6 Series,43.0,30156.0,48500.0
2012,BMW,3 Series,47.0,17453.0,31250.0
2012,BMW,6 Series,39.0,26391.0,51500.0
2012,Audi,S5,37.0,22938.0,36500.0
2012,Audi,Q5,41.0,38750.0,31250.0
2012,Acura,MDX,41.0,37587.0,31000.0
2012,BMW,7 Series,43.0,47390.0,34250.0
2012,BMW,5 Series,4.0,43662.0,36500.0
2012,BMW,7 Series,45.0,29460.0,40500.0
2012,BMW,5 Series,44.0,37915.0,34000.0
2012,BMW,3 Series,41.0,30875.0,41000.0
2012,BMW,6 Series,28.0,36051.0,42900.0
2012,BMW,6 Series,42.0,37688.0,45500.0
2012,BMW,5 Series,46.0,35638.0,31500.0
2012,BMW,5 Series,33.0,26936.0,34500.0
2012,BMW,6 Series,41.0,50362.0,42000.0
2012,BMW,5 Series,28.0,36773.0,32500.0
2012,BMW,6 Series,48.0,25070.0,50000.0
2012,BMW,X5,38.0,39302.0,39750.0
2012,BMW,Z4,45.0,19767.0,32000.0
2012,BMW,X5,36.0,38715.0,34000.0
2012,Ford,F-350 Super Duty,42.0,31076.0,44750.0
2012,Dodge,Charger,37.0,27842.0,34750.0
2012,BMW,X5,43.0,37269.0,36500.0
2012,BMW,X5,38.0,24720.0,42500.0
2012,Cadillac,Escalade,36.0,35551.0,36500.0
2012,BMW,X6,19.0,39766.0,37500.0
2012,BMW,X5,49.0,26640.0,40250.0
2012,Cadillac,Escalade,38.0,53781.0,35500.0
2012,BMW,X5,44.0,48374.0,34750.0
2012,BMW,X5,49.0,23642.0,39500.0
2012,BMW,X5 M,34.0,23029.0,54000.0
2012,BMW,X5,48.0,45760.0,36500.0
2012,BMW,X5,43.0,20187.0,42000.0
2012,BMW,X5,43.0,59718.0,33500.0
2012,BMW,X5,33.0,24406.0,39000.0
